age_BP,median,q05,q95
4,-0.0584,-0.1939,0.0554
14,-0.0525,-0.1878,0.0620
24,-0.0568,-0.1918,0.0564
34,-0.0684,-0.2028,0.0452
44,-0.0722,-0.2060,0.0411
54,-0.0637,-0.1966,0.0499
64,-0.0604,-0.1938,0.0535
74,-0.0553,-0.1887,0.0579
84,-0.0582,-0.1917,0.0553
94,-0.0508,-0.1843,0.0617
104,-0.0391,-0.1722,0.0738
114,-0.0647,-0.1962,0.0478
124,-0.0653,-0.1970,0.0477
134,-0.0860,-0.2181,0.0277
144,-0.0712,-0.2015,0.0403
154,-0.0624,-0.1926,0.0511
164,-0.0677,-0.1955,0.0460
174,-0.0620,-0.1911,0.0524
184,-0.0638,-0.1922,0.0501
194,-0.0694,-0.1983,0.0412
204,-0.0758,-0.2050,0.0358
214,-0.0702,-0.1999,0.0418
224,-0.0643,-0.1942,0.0475
234,-0.0654,-0.1956,0.0459
244,-0.0602,-0.1907,0.0512
254,-0.0776,-0.2080,0.0340
264,-0.0814,-0.2126,0.0285
274,-0.0730,-0.2034,0.0383
284,-0.0718,-0.2022,0.0402
294,-0.0723,-0.2030,0.0396
304,-0.0954,-0.2236,0.0155
314,-0.0955,-0.2235,0.0156
324,-0.1022,-0.2293,0.0095
334,-0.0934,-0.2202,0.0187
344,-0.0865,-0.2138,0.0251
354,-0.0874,-0.2151,0.0237
364,-0.0837,-0.2114,0.0281
374,-0.0615,-0.1888,0.0500
384,-0.0569,-0.1835,0.0541
394,-0.0671,-0.1929,0.0430
404,-0.0615,-0.1870,0.0490
414,-0.0624,-0.1884,0.0472
424,-0.0734,-0.1999,0.0364
434,-0.0828,-0.2088,0.0269
444,-0.0840,-0.2103,0.0258
454,-0.0766,-0.2049,0.0328
464,-0.0618,-0.1871,0.0482
474,-0.0628,-0.1871,0.0475
484,-0.0473,-0.1697,0.0598
494,-0.0614,-0.1826,0.0470
504,-0.0601,-0.1813,0.0484
514,-0.0825,-0.2039,0.0251
524,-0.0758,-0.1952,0.0333
534,-0.0599,-0.1772,0.0488
544,-0.0452,-0.1648,0.0619
554,-0.0368,-0.1572,0.0703
564,-0.0449,-0.1651,0.0628
574,-0.0617,-0.1815,0.0466
584,-0.0563,-0.1778,0.0512
594,-0.0736,-0.1935,0.0347
604,-0.0643,-0.1854,0.0441
614,-0.0894,-0.2081,0.0207
624,-0.0774,-0.1973,0.0321
634,-0.0655,-0.1850,0.0429
644,-0.0641,-0.1838,0.0442
654,-0.0620,-0.1799,0.0455
664,-0.0644,-0.1823,0.0436
674,-0.0797,-0.1975,0.0281
684,-0.0783,-0.1973,0.0301
694,-0.0844,-0.2034,0.0243
704,-0.0533,-0.1723,0.0550
714,-0.0665,-0.1859,0.0417
724,-0.0747,-0.1938,0.0342
734,-0.0759,-0.1967,0.0318
744,-0.0749,-0.1940,0.0322
754,-0.0772,-0.1966,0.0302
764,-0.0738,-0.1943,0.0325
774,-0.0773,-0.1958,0.0291
784,-0.0748,-0.1942,0.0318
794,-0.0684,-0.1893,0.0381
804,-0.0763,-0.1984,0.0296
814,-0.0836,-0.2053,0.0238
824,-0.0782,-0.1998,0.0295
834,-0.0695,-0.1923,0.0371
844,-0.0673,-0.1891,0.0403
854,-0.0589,-0.1791,0.0480
864,-0.0549,-0.1773,0.0519
874,-0.0505,-0.1740,0.0549
884,-0.0446,-0.1665,0.0629
894,-0.0462,-0.1676,0.0617
904,-0.0464,-0.1673,0.0617
914,-0.0511,-0.1728,0.0557
924,-0.0581,-0.1775,0.0502
934,-0.0599,-0.1792,0.0488
944,-0.0453,-0.1649,0.0631
954,-0.0465,-0.1666,0.0613
964,-0.0470,-0.1666,0.0609
974,-0.0403,-0.1599,0.0668
984,-0.0385,-0.1607,0.0667
994,-0.0578,-0.1804,0.0470
1004,-0.0517,-0.1722,0.0549
1014,-0.0331,-0.1524,0.0742
1024,-0.0266,-0.1460,0.0799
1034,-0.0264,-0.1460,0.0811
1044,-0.0334,-0.1528,0.0743
1054,-0.0428,-0.1620,0.0638
1064,-0.0475,-0.1654,0.0599
1074,-0.0549,-0.1741,0.0517
1084,-0.0628,-0.1804,0.0443
1094,-0.0642,-0.1816,0.0435
1104,-0.0547,-0.1721,0.0529
1114,-0.0471,-0.1644,0.0610
1124,-0.0387,-0.1566,0.0694
1134,-0.0495,-0.1673,0.0577
1144,-0.0511,-0.1685,0.0552
1154,-0.0505,-0.1683,0.0568
1164,-0.0349,-0.1541,0.0715
1174,-0.0237,-0.1426,0.0828
1184,-0.0182,-0.1382,0.0873
1194,-0.0251,-0.1442,0.0818
1204,-0.0413,-0.1599,0.0658
1214,-0.0305,-0.1496,0.0758
1224,-0.0405,-0.1595,0.0665
1234,-0.0463,-0.1650,0.0609
1244,-0.0374,-0.1565,0.0695
1254,-0.0334,-0.1524,0.0725
1264,-0.0440,-0.1646,0.0615
1274,-0.0386,-0.1588,0.0671
1284,-0.0500,-0.1687,0.0560
1294,-0.0536,-0.1733,0.0531
1304,-0.0651,-0.1837,0.0425
1314,-0.0750,-0.1933,0.0325
1324,-0.0798,-0.1985,0.0274
1334,-0.0835,-0.2021,0.0238
1344,-0.0821,-0.2004,0.0245
1354,-0.0769,-0.1955,0.0294
1364,-0.0836,-0.2036,0.0223
1374,-0.0850,-0.2061,0.0213
1384,-0.0902,-0.2108,0.0150
1394,-0.0920,-0.2124,0.0137
1404,-0.0819,-0.2025,0.0250
1414,-0.0617,-0.1823,0.0452
1424,-0.0481,-0.1685,0.0591
1434,-0.0474,-0.1682,0.0595
