tsid,dataset,lat,lon,archive_type,seasonality,value_6ka,uncertainty
RL0SCEeYVWU,117_723A.Godad.2011,18.0518,57.6090,temp12k,summerOnly,0.4370,1.6900
R56JsH0b7h7,161_976.Martrat.2014,36.2054,355.6873,temp12k,annual,0.9092,2.8900
Rl3oDldpRFu_SST_from_planktic0x2EMgCa,161_976.Martrat.2014,36.2054,355.6873,temp12k,annual,-1.1029,
RYfbsh7Nj6W_SST_from_Uk37,165_1002C.Herbert.2000,10.7061,294.8306,temp12k,annual,1.0327,
PYTGVVDEA4T,2005-804-006.Ledu.2010,68.9925,253.4265,temp12k,summer+,1.4053,2.8900
PYT93BAHDDE,2005-804-006.Ledu.2010,68.9925,253.4265,temp12k,annual,0.7453,1.4400
M2Lv2lo9btoP,31Lake.Eisner.1995,67.0500,309.5300,temp12k,summer+,-0.0606,4.0000
M2Lmk4ecjirP,31Lake.Eisner.1995,67.0500,309.5300,temp12k,winter+,-3.2421,9.0000
M2L7yquhwzuP,31Lake.Eisner.1995,67.0500,309.5300,temp12k,annual,-1.7170,4.4100
Rlf3YywN7Sz,3MPond.Pellatt.2000,49.9833,238.7833,temp12k,summerOnly,4.9714,1.9600
R5opojsGcHY,850Lake.Shemesh.2001,68.3700,19.1200,temp12k,summerOnly,0.0680,1.9600
LPD05340dbbdp_SST_from_d18O,893A.Kennet.2007,34.2875,239.9640,temp12k,annual,0.3513,
LPD28794972dp_SST_from_d18O2,893A.Kennet.2007,34.2875,239.9640,temp12k,annual,0.7264,
T2L_A7_mgca_ruber_SST_from_mgca_ruber,A7.Sun.2005,27.8200,126.9783,temp12k,annual,0.1156,3.6100
T2L_A7_d18o_ruber_SST_from_d18o_ruber,A7.Sun.2005,27.8200,126.9783,temp12k,annual,0.0168,4.4100
M2Lupm3c8kbP,Abalone.Cole.1994,33.9600,240.0200,temp12k,summer+,0.6620,4.0000
M2Luu75cnkxP,Abalone.Cole.1994,33.9600,240.0200,temp12k,winter+,-0.4899,9.0000
M2Lhfelk1bfP,Abalone.Cole.1994,33.9600,240.0200,temp12k,annual,0.1012,4.4100
WEB239e9c22,AdelaideTarn.Jara.2015,-40.9333,172.5333,temp12k,annual,0.1448,4.4100
RShtOmHDliM,Agassiz.Lecavalier.2017,80.6700,286.5000,temp12k,summer+,-0.1387,4.4100
WEBa1e48de5,Agassiz.Lecavalier.2017,80.6700,286.5000,temp12k,annual,1.8686,4.4100
RnxVCFme4M6,AgeroedsMosse.Nilsson.1964,55.8300,13.4200,temp12k,winter+,2.5000,9.0000
RTdqSojg0st,AgeroedsMosse.Nilsson.1964,55.8300,13.4200,temp12k,annual,0.3180,4.4100
RdpMsymwlrC,AgeroedsMosse.Nilsson.1964,55.8300,13.4200,temp12k,summer+,-1.8640,4.0000
R6lPfjM3opf,AjaxBog.Wilmshurst.2007,-46.4200,169.2800,temp12k,annual,0.3725,4.4100
Ry0uq7BMis9,AlanenLaanijarvi.Heinrichs.2005,67.9700,20.4800,temp12k,summerOnly,-0.3311,1.9600
GH34755740,Alley.GISP2.2000,72.6000,321.5000,temp12k,annual,1.1500,4.4100
RFUJxBek9zN,AlltnaFeitheSheilich.Birks.1975,57.3200,356.1000,temp12k,winter+,-3.5481,9.0000
Rx3TR4XADtS,AlltnaFeitheSheilich.Birks.1975,57.3200,356.1000,temp12k,annual,-2.1563,4.4100
R5NnLNvLdVc,AlltnaFeitheSheilich.Birks.1975,57.3200,356.1000,temp12k,summer+,-0.7645,4.0000
RxVEwJbczte,AlpidiRobieiValBavona.Welten.1982,46.4500,8.5200,temp12k,winter+,2.1654,9.0000
RNAncQhRpt8,AlpidiRobieiValBavona.Welten.1982,46.4500,8.5200,temp12k,annual,2.5496,4.4100
RTiSqfSPk0M,AlpidiRobieiValBavona.Welten.1982,46.4500,8.5200,temp12k,summer+,2.9339,4.0000
RcKJrkhJIWx,Alsopahok.Zatyko.2007,46.7700,17.1700,temp12k,winter+,-4.1284,9.0000
RsS9GGho4e3,Alsopahok.Zatyko.2007,46.7700,17.1700,temp12k,annual,-4.2521,4.4100
R2Y8AnQcVcZ,Alsopahok.Zatyko.2007,46.7700,17.1700,temp12k,summer+,-4.3758,4.0000
RV6sFgBNSUu,Altenweiher.DeValk.1981,48.0100,6.9900,temp12k,winter+,1.8897,9.0000
Ry2oSKE2D2P,Altenweiher.DeValk.1981,48.0100,6.9900,temp12k,annual,0.9146,4.4100
RJxXebpMVYB,Altenweiher.DeValk.1981,48.0100,6.9900,temp12k,summer+,-0.0606,4.0000
LPDd2a984fe,AMP112.vanderBilt.2016,79.7700,10.7400,temp12k,summer+,0.2973,4.4100
PYTMLFNC0A7,Andy.Szeicz.1995,64.6500,231.9200,temp12k,winter+,2.7580,9.0000
PYTCLN8P1CL,Andy.Szeicz.1995,64.6500,231.9200,temp12k,summer+,1.7055,4.0000
RSvtIc0N66Y,Andy.Szeicz.1995,64.6500,231.9200,temp12k,annual,2.2317,4.4100
PYTXFMZ1EQU,Arapisto.Sarmaja-Korjonen.2007,60.5800,24.8000,temp12k,annual,2.9396,4.4100
M2L1r9snju2P,Atocas.Gauthier.1981,45.5400,286.6900,temp12k,summer+,0.6775,4.0000
M2Lr58abc8kP,Atocas.Gauthier.1981,45.5400,286.6900,temp12k,winter+,-0.1477,9.0000
M2L68fmqq0lP,Atocas.Gauthier.1981,45.5400,286.6900,temp12k,annual,0.3333,4.4100
PYTLCCXN62R,Austerkjosen.Seppa.2009,68.5333,17.2667,temp12k,summerOnly,0.8016,4.0000
WEB7e132cbf,AwengCo.Li.2017,32.7500,81.6700,temp12k,annual,-5.9803,4.4100
T2L_B997_321_d18o_pachyderma_SST_from_d18o_pachyderma,B997_321.Castaneda.2004,66.8911,341.0256,temp12k,annual,0.5216,4.4100
T2L_B997_324_d18o_pachyderma_SST_from_d18o_pachyderma,B997_324.Castaneda.2004,66.5239,338.8478,temp12k,annual,1.0615,4.4100
R5udN7jdMr6,BaiedeSeineestuary.Garnaud.2003,49.4200,359.9700,temp12k,winter+,0.1211,9.0000
Reuxqn1aPrN,BaiedeSeineestuary.Garnaud.2003,49.4200,359.9700,temp12k,annual,0.9398,4.4100
RBT6awPb1VO,BaiedeSeineestuary.Garnaud.2003,49.4200,359.9700,temp12k,summer+,1.7585,4.0000
M2L4ptir6l2P,BanksIsland-12.Gajewski.2000,72.3700,240.1700,temp12k,summer+,0.2050,4.0000
M2Lfdow59cgP,BanksIsland-15.Gajewski.2000,73.5300,239.7800,temp12k,summer+,1.4002,4.0000
M2LnpuqcuqlP,BanksIsland-15.Gajewski.2000,73.5300,239.7800,temp12k,winter+,5.7598,9.0000
M2Lqd7jeqa8P,BanksIsland-15.Gajewski.2000,73.5300,239.7800,temp12k,annual,3.8071,4.4100
RXVKcelUtDs,BasadelaMoraLake.Tarrats.2018,42.5445,0.3260,temp12k,summerOnly,0.2879,1.9600
Rn3tXflt36j,Basse-Ville.Voeltzel.1987,47.1900,358.1400,temp12k,winter+,1.4131,9.0000
R4JjJRueZkB,Basse-Ville.Voeltzel.1987,47.1900,358.1400,temp12k,annual,0.8432,4.4100
Rymm6Ej0KFs,Basse-Ville.Voeltzel.1987,47.1900,358.1400,temp12k,summer+,0.2732,4.0000
M2Lsnw4qd7nP,Bastien.Bennett.1987,46.4000,281.0800,temp12k,summer+,1.0080,4.0000
M2Lsvhe5uwvP,Bastien.Bennett.1987,46.4000,281.0800,temp12k,winter+,0.1507,9.0000
M2Lqrusrc3gP,Bastien.Bennett.1987,46.4000,281.0800,temp12k,annual,0.6065,4.4100
M2Lxyvz743zP,BattleGround.Whitlock.1985,45.8000,237.5083,temp12k,summer+,0.8561,4.0000
M2Lnb4vidkmP,BattleGround.Whitlock.1985,45.8000,237.5083,temp12k,winter+,1.8215,9.0000
M2Lx72gur5lP,BattleGround.Whitlock.1985,45.8000,237.5083,temp12k,annual,1.3954,4.4100
WEBa45174e3,BC01Lake.Peros.2010,75.1800,248.0800,temp12k,summerOnly,0.4431,4.0000
M2Lwubsanj1P,Beaverhouse.Ritchie.1976,54.7400,258.3200,temp12k,summer+,1.4453,4.0000
M2La6zq11jjP,Beaverhouse.Ritchie.1976,54.7400,258.3200,temp12k,winter+,0.9424,9.0000
M2L6n22fvlcP,Beaverhouse.Ritchie.1976,54.7400,258.3200,temp12k,annual,1.2575,4.4100
RDAH5bLqI0Y,BebrukasLake.Shulija.1967,54.0900,24.1200,temp12k,winter+,-0.1218,9.0000
RsHcCZf3F0Z,BebrukasLake.Shulija.1967,54.0900,24.1200,temp12k,annual,1.2433,4.4100
RqxisXGgu0E,BebrukasLake.Shulija.1967,54.0900,24.1200,temp12k,summer+,2.6083,4.0000
M2Loyk9yzdgP,BeefPasture.Petersen.1985,37.4700,251.8400,temp12k,summer+,-0.9218,4.0000
M2Lrb7axgd8P,BeefPasture.Petersen.1985,37.4700,251.8400,temp12k,winter+,-0.8575,9.0000
M2Lgb6c2jm2P,BeefPasture.Petersen.1985,37.4700,251.8400,temp12k,annual,-0.8120,4.4100
PYTV4OH8PKH,BellsLake.Szeicz.1995,65.0200,232.5200,temp12k,summer+,2.4793,
PYTNNSXZFMF,BellsLake.Szeicz.1995,65.0200,232.5200,temp12k,winter+,2.0168,
RAP1dzJLThI,BellsLake.Szeicz.1995,65.0200,232.5200,temp12k,annual,2.2481,4.4100
RmGezmouka1,Berkut.Ilyashuk.2005,66.3400,36.6600,temp12k,summerOnly,-0.0471,1.9600
M2Ln0s9p104P,Berry.Whitehead.1979,42.5000,286.6800,temp12k,summer+,0.2235,4.0000
M2L6hk7di03P,Berry.Whitehead.1979,42.5000,286.6800,temp12k,winter+,0.2505,9.0000
M2Lsemj4z4fP,Berry.Whitehead.1979,42.5000,286.6800,temp12k,annual,0.2287,4.4100
M2L8ta6nvc9P,BI2Lake.Gajewski.1992,57.1200,283.6200,temp12k,summer+,0.2344,4.0000
M2Ll9trg0t0P,BI2Lake.Gajewski.1992,57.1200,283.6200,temp12k,winter+,0.1926,9.0000
M2La2ua5w4kP,BI2Lake.Gajewski.1992,57.1200,283.6200,temp12k,annual,-0.3256,4.4100
M2Lsn8ueflfP,Billys.Jacobson.1975,46.2700,265.4500,temp12k,summer+,0.2980,4.0000
M2Lmj0qhtsrP,Billys.Jacobson.1975,46.2700,265.4500,temp12k,winter+,-2.3570,9.0000
